Município;sub;lat;long
campina grande;Aeroclube;-7.263.240;-35.892.213
campina grande;Alto Branco;-7.204.506;-35.872.699
Araruna;Araruna;-6.534.415;-35.733.061
Areia;Areia;-6.971.837;-35.706.354
Aroeiras;Aroeiras;-7.540.898;-35.698.297
Bananeiras;Bananeiras;-6.760.080;-35.644.870
campina grande;Bela Vista;-7.220.322;-35.903.629
Boa vista;Boa Vista;-7.288.829;-36.241.821
Boqueirão;Boqueirão;-7.485.587;-36.136.170
Campina Grande;Campina Grande I;-7.230.055;-35.868.411
Campina Grande;Campina Grande II;-7.265.478;-35.909.203
Campina Grande;Catolé;-7.248.383;-35.884.014
Cuité;Cuite;-6.478.583;-36.157.968
Dona Inês;Dona Inês;-6.610.206;-35.602.117
Bananeiras;Esperança;-6.752.569;-35.645.104
Guarabira;Guarabira;-6.871.649;-35.477.596
Jacaraú;Jacaraú;-6.623.316;-35.280.897
Juazeirinho;Juazeirinho;-7.067.383;-36.569.742
Monteiro;Monteiro;-7.901.497;-37.119.455
Pedra Lavrada;Pedra Lavrada;-6.754.402;-36.467.247
Picuí;Picui;-6.512.511;-36.356.574
Pilões;Pilões;-6.871.649;-35.602.888
Pocinhos;Pocinhos;-7.112.677;-36.097.688
Queimadas;Queimadas;-7.371.831;-35.916.740
Riachão do Bacamarte;Riachão;-7.246.966;-35.662.648
São João do Cariri;São João do Cariri;-7.383.544;-36.526.121
Sumé;Sumé;-7.669.858;-36.872.390
João Pessoa;Bessa;-7.083.410;-34.835.922
Caaporã;Caapora;-7.514.187;-34.888.155
Cabedelo;Cabedelo;-7.027.203;-34.839.584
Conde;Conde;-7.262.184;-34.937.119
Cristo;Cristo;-7.167.413;-34.877.204
Joâo Pessoa;Cruz do Peixe;-7.118.413;-34.867.100
Joâo Pessoa;Distrito;-7.180.497;-34.906.755
Joâo Pessoa;Ilha do Bispo;-7.131.028;-34.904.194
Itabaiana;Itabaiana;-7.338.778;-35.338.222
Joâo Pessoa;João Pessoa;-7.129.389;-34.867.667
Lucena;Lucena;-6.944.833;-34.907.472
Joâo Pessoa;Mangabeira;-7.161.694;-34.819.972
Alhandra;Mata Redonda;-7.334.806;-34.950.611
Mataraca;Mataraca;-6.593.333;-35.058.444
Joâo Pessoa;Mussuré;-7.179.861;-34.893.556
Joâo Pessoa;Paratibe;-7.211.000;-34.829.194
Juripiranga ;Oratório;-7.385.806;-35.148.389
Riachão;Riachão;-7.247.111;-35.662.639
Santa Rita;Santa Rita;-7.118.583;-34.962.694
Sapé;Sape;-7.087.306;-35.221.972
Joâo Pessoa;Tambaú;-7.115.361;-34.833.972
Brejo do Cruz;Brejo do Cruz;-6.344.639;-37.499.778
Cajazeiras;Cajazeiras;-6.892.500;-38.551.278
Catolé do Rocha;Catolé do Rocha;-6.347.833;-37.744.111
Coremas;Coremas;-7.021.472;-37.942.111
Ibiara;Ibiara;-7.495.028;-38.405.222
Itaporanga;Itaporanga;-7.300.472;-38.126.667
Patos;Jatobá;-7.050.944;-37.279.472
Jericó;Jericó;-6.492.806;-37.830.000
Patos;Patos;-7.005.528;-37.297.861
Paulista;Paulista;-6.603.611; -37.611972
Pombal;Pombal;-6.778.694;-37.809.361
Princesa Isabel;Princesa Isabel;-7.746.278;-37.996.972
Santa Luiza;Santa Luzia;-6.881.833;-36.814.222
São Bento;São Bento;-6.509.667;-37.446.333
São João do Rio de Peixe;São João do Rio de Peixe;-6.725.528;-38.454.667
Teixeira;Teixeira;-7.222.722;-37.243.389
Uiraúna;Uirauna;-6.528.000;-38.415.500
CAMPINA GRANDE ;CAMPINA GRANDE II;-7.265.459;-35.909.225
João Pessoa;MUSSURE II;-7.181.163;-34.894.093
CAMPINA GRANDE ;COTEMINAS;-7.279.189;-35.895.506
PILÕES;PILÕES II;-6.871.664; -35.602888
SANTA RITA;SANTA RITA II;-7.153.448;-35.010.399
CAMPINA GRANDE;CAMPINA GRANDE III;-7.254.715;-35.979.857
Coremas;Coremas;-7.015.363;-37.955.195
João Pessoa;Mangabeira;-7.161.696;-34.820.058
Santa Rita; japungu;-6.990.005;-35.020.831
Sousa;Sousa;-6.779.937;-38.255.186
Sousa II;Sousa II;-6.844.591;-38.313.386
